,variable,powertrain,euro_class,component,value
0,a,cng,1.0,Benzene,2.9067283498306478e-08
1,a,cng,2.0,Benzene,0.0
2,a,cng,3.0,Benzene,0.0
3,a,cng,4.0,Benzene,0.0
4,a,cng,5.0,Benzene,0.0
5,a,cng,6.0,Benzene,0.0
6,a,diesel,1.0,Benzene,7.856532301999561e-07
7,a,diesel,2.0,Benzene,4.931405998986263e-07
8,a,diesel,3.0,Benzene,4.324242031143644e-07
9,a,diesel,4.0,Benzene,4.5810379766913057e-08
10,a,diesel,5.0,Benzene,6.643278651028371e-08
11,a,diesel,6.0,Benzene,2.9067283498306478e-08
12,a,cng,1.0,CH4,4.1773343165828126e-08
13,a,cng,2.0,CH4,2.8092071309026814e-05
14,a,cng,3.0,CH4,2.6466811939944613e-05
15,a,cng,4.0,CH4,5.6982972882960554e-06
16,a,cng,5.0,CH4,2.192931042895771e-05
17,a,cng,6.0,CH4,2.192931042895771e-05
18,a,diesel,1.0,CH4,1.1290825356778284e-06
19,a,diesel,2.0,CH4,7.087050734020716e-07
20,a,diesel,3.0,CH4,6.214479734682203e-07
21,a,diesel,4.0,CH4,6.583527846728733e-08
22,a,diesel,5.0,CH4,9.547227047418979e-08
23,a,diesel,6.0,CH4,4.1773343165828126e-08
24,a,cng,1.0,CO,2.0941912925474317e-05
25,a,cng,2.0,CO,0.00012359815548499388
26,a,cng,3.0,CO,0.00013543887577139644
27,a,cng,4.0,CO,2.1952933062076722e-05
28,a,cng,5.0,CO,5.051916459792083e-05
29,a,cng,6.0,CO,5.051916459792083e-05
30,a,diesel,1.0,CO,0.00014541905225379985
31,a,diesel,2.0,CO,0.00011432581402560494
32,a,diesel,3.0,CO,0.0001305575206730349
33,a,diesel,4.0,CO,0.00011058265525736522
34,a,diesel,5.0,CO,0.00011296535411961262
35,a,diesel,6.0,CO,2.0941912925474317e-05
36,a,cng,1.0,FC_MJ,0.001
37,a,cng,2.0,FC_MJ,0.0010000000000000002
38,a,cng,3.0,FC_MJ,0.0010000000000000002
39,a,cng,4.0,FC_MJ,0.0010000000000000002
40,a,cng,5.0,FC_MJ,0.001
41,a,cng,6.0,FC_MJ,0.001
42,a,diesel,1.0,FC_MJ,0.0009999999999999996
43,a,diesel,2.0,FC_MJ,0.001
44,a,diesel,3.0,FC_MJ,0.0010000000000000002
45,a,diesel,4.0,FC_MJ,0.0010000000000000002
46,a,diesel,5.0,FC_MJ,0.0009999999999999998
47,a,diesel,6.0,FC_MJ,0.001
48,a,cng,1.0,HC,1.740555943505884e-06
49,a,cng,2.0,HC,3.053485930560583e-05
50,a,cng,3.0,HC,2.8768273317697027e-05
51,a,cng,4.0,HC,6.193801278691262e-06
52,a,cng,5.0,HC,2.3836206609728363e-05
53,a,cng,6.0,HC,2.3836206609728363e-05
54,a,diesel,1.0,HC,4.704510500128723e-05
55,a,diesel,2.0,HC,2.952937785268909e-05
56,a,diesel,3.0,HC,2.589366547105266e-05
57,a,diesel,4.0,HC,2.7431365762113213e-06
58,a,diesel,5.0,HC,3.978011250353063e-06
59,a,diesel,6.0,HC,1.740555943505884e-06
60,a,cng,1.0,N2O,3.5800896362280065e-05
61,a,cng,2.0,N2O,3.5800896362280065e-05
62,a,cng,3.0,N2O,3.5800896362280065e-05
63,a,cng,4.0,N2O,3.5800896362280065e-05
64,a,cng,5.0,N2O,3.5800896362280065e-05
65,a,cng,6.0,N2O,3.5800896362280065e-05
66,a,diesel,1.0,N2O,1.0573770515010006e-05
67,a,diesel,2.0,N2O,7.190760102916936e-06
68,a,diesel,3.0,N2O,4.6721311499837965e-06
69,a,diesel,4.0,N2O,1.464004606985655e-05
70,a,diesel,5.0,N2O,4.5714974918773454e-05
71,a,diesel,6.0,N2O,3.5800896362280065e-05
72,a,cng,1.0,NH3,1.2673816572793802e-05
73,a,cng,2.0,NH3,1.2673816572793802e-05
74,a,cng,3.0,NH3,1.2673816572793802e-05
75,a,cng,4.0,NH3,1.2673816572793802e-05
76,a,cng,5.0,NH3,1.2673816572793802e-05
77,a,cng,6.0,NH3,1.2673816572793802e-05
78,a,diesel,1.0,NH3,2.9000001959502703e-06
79,a,diesel,2.0,NH3,2.9000001959502703e-06
80,a,diesel,3.0,NH3,2.9000001959502703e-06
81,a,diesel,4.0,NH3,2.9000001959502703e-06
82,a,diesel,5.0,NH3,1.0999999940395362e-05
83,a,diesel,6.0,NH3,1.2673816572793802e-05
84,a,cng,1.0,NMHC,1.6987826081565844e-06
85,a,cng,2.0,NMHC,2.4427887033510337e-06
86,a,cng,3.0,NMHC,2.3014618585907176e-06
87,a,cng,4.0,NMHC,4.955040926430307e-07
88,a,cng,5.0,NMHC,1.9068964771797518e-06
89,a,cng,6.0,NMHC,1.9068964771797518e-06
90,a,diesel,1.0,NMHC,4.591602318551428e-05
91,a,diesel,2.0,NMHC,2.882067307800908e-05
92,a,diesel,3.0,NMHC,2.527221791522261e-05
93,a,diesel,4.0,NMHC,2.677301316751473e-06
94,a,diesel,5.0,NMHC,3.882539024558773e-06
95,a,diesel,6.0,NMHC,1.6987826081565844e-06
96,a,cng,1.0,NO2,7.366606927619634e-06
97,a,cng,2.0,NO2,0.0001606255026277082
98,a,cng,3.0,NO2,0.00012114713510610664
99,a,cng,4.0,NO2,3.222290498039172e-05
100,a,cng,5.0,NO2,2.2968229702341408e-05
101,a,cng,6.0,NO2,2.2968229702341408e-05
102,a,diesel,1.0,NO2,9.443130889110856e-05
103,a,diesel,2.0,NO2,0.00010362245089464751
104,a,diesel,3.0,NO2,9.133144624271663e-05
105,a,diesel,4.0,NO2,8.606934316897654e-05
106,a,diesel,5.0,NO2,6.255523317868427e-05
107,a,diesel,6.0,NO2,7.366606927619634e-06
108,a,cng,1.0,NOx,2.630931026216338e-05
109,a,cng,2.0,NOx,0.0006425020105108327
110,a,cng,3.0,NOx,0.00048458854042442693
111,a,cng,4.0,NOx,0.00012889161992156686
112,a,cng,5.0,NOx,9.18729188093657e-05
113,a,cng,6.0,NOx,9.18729188093657e-05
114,a,diesel,1.0,NOx,0.0006993827490462314
115,a,diesel,2.0,NOx,0.00077039484034475
116,a,diesel,3.0,NOx,0.0006004363128802929
117,a,diesel,4.0,NOx,0.0004691137271441373
118,a,diesel,5.0,NOx,0.0003580717719617638
119,a,diesel,6.0,NOx,2.630931026216338e-05
120,a,cng,1.0,PM2.5,2.518198679493273e-06
121,a,cng,2.0,PM2.5,1.5528007631647682e-05
122,a,cng,3.0,PM2.5,1.361878622387401e-05
123,a,cng,4.0,PM2.5,4.325286898810001e-06
124,a,cng,5.0,PM2.5,3.941874188067741e-07
125,a,cng,6.0,PM2.5,3.941874188067741e-07
126,a,diesel,1.0,PM2.5,2.595902570980511e-05
127,a,diesel,2.0,PM2.5,1.3036606814216663e-05
128,a,diesel,3.0,PM2.5,1.2001685271805034e-05
129,a,diesel,4.0,PM2.5,3.057324428907362e-06
130,a,diesel,5.0,PM2.5,3.294575089587213e-06
131,a,diesel,6.0,PM2.5,2.518198679493273e-06
132,a,cng,1.0,Pb,0.0
133,a,cng,2.0,Pb,0.0
134,a,cng,3.0,Pb,0.0
135,a,cng,4.0,Pb,0.0
136,a,cng,5.0,Pb,0.0
137,a,cng,6.0,Pb,0.0
138,a,diesel,1.0,Pb,0.0
139,a,diesel,2.0,Pb,0.0
140,a,diesel,3.0,Pb,0.0
141,a,diesel,4.0,Pb,0.0
142,a,diesel,5.0,Pb,0.0
143,a,diesel,6.0,Pb,0.0
